No.,需求编号,用例等级,Feature,Category,TestMethod,Subfunction,Summary,Preconditions,TestSteps,Expectedresults,Author,Result,Ver,Date,Tester,Comment
TC_YW_Router_NotMessageRouter_0x1F4_005,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(TrunkDoorSts)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
TrunkDoorSts=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
TrunkDoorSts=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(RRDoorStatus)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
RRDoorStatus=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
RRDoorStatus=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_007,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(RLDoorStatus)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
RLDoorStatus=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
RLDoorStatus=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_008,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(DRVUnlockState)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
DRVUnlockState=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
DRVUnlockState=
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_009,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(DrvDoorStatus)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
DrvDoorStatus=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
DrvDoorStatus=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_010,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(HeadLampLowBeamCtrl)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
HeadLampLowBeamCtrl=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
HeadLampLowBeamCtrl=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_011,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(HeadLampHighBeamCtrl)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
HeadLampHighBeamCtrl=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
HeadLampHighBeamCtrl=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_012,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(TurnSwitch)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
TurnSwitch=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
TurnSwitch=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_013,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(KeyState)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
KeyState=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
KeyState=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_014,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(HoodStatus)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
HoodStatus=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
HoodStatus=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_015,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(HazardWarnLightSW)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
HazardWarnLightSW=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
HazardWarnLightSW=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_016,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(TurnSwitchVd)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
TurnSwitchVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
TurnSwitchVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_017,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(FrontWiperStatus)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
FrontWiperStatus=0/1/2
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
FrontWiperStatus=0/1/2
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_018,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(DirIndicationLeft)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
DirIndicationLeft=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
DirIndicationLeft=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_019,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(DirIndicationRight)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
DirIndicationRight=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
DirIndicationRight=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_020,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(AutoLightSW)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
AutoLightSW=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
AutoLightSW=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_021,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(RearFogLamp)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
RearFogLamp=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
RearFogLamp01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
0x23B,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x23B_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x23B,CAN信号路由_(APA_EPS_TargetSteeringAngle)_0x23B->0x23B,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MPC_APA_Request，报文ID：0x23B中信号
APA_EPS_TargetSteeringAngle=-513/-100/-10/-1/0/1/10/100/513
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MPC_APA_Request，报文ID：0x23B分别对应以下信号值
APA_EPS_TargetSteeringAngle=-513/-100/-10/-1/0/1/10/100/513
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23B_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x23B,CAN信号路由_(APA_EPS_CtrlReq)_0x23B->0x23B,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MPC_APA_Request，报文ID：0x23B中信号
APA_EPS_CtrlReq=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MPC_APA_Request，报文ID：0x23B分别对应以下信号值
APA_EPS_CtrlReq01=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
0x23C,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x23C_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x23C,CAN信号路由_(WhlSpdFRVd)_0x23C->0x23E,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_FWhlSpd，报文ID：0x23C中信号
WhlSpdFRVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_FWhlSpd，报文ID：0x23E分别对应以下信号值
WhlSpdFRVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23C_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x23C,CAN信号路由_(WhlSpdFR)_0x23C->0x23E,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_FWhlSpd，报文ID：0x23C中信号
WhlSpdFR=0/1/100/299.981
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_FWhlSpd，报文ID：0x23E分别对应以下信号值
WhlSpdFR=0/1/100/299.981
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23C_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x23C,CAN信号路由_(WhlSpdFLVd)_0x23C->0x23E,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_FWhlSpd，报文ID：0x23C中信号
WhlSpdFLVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_FWhlSpd，报文ID：0x23E分别对应以下信号值
WhlSpdFLVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23C_004,SWRS-1,A,CAN路由,基本功能,手动测试,0x23C,CAN信号路由_(WhlSpdFL)_0x23C->0x23E,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_FWhlSpd，报文ID：0x23C中信号
WhlSpdFL=0/1/100/299.981
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_FWhlSpd，报文ID：0x23E分别对应以下信号值
WhlSpdFL=0/1/100/299.981
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23C_005,SWRS-1,A,CAN路由,基本功能,手动测试,0x23C,CAN信号路由_(VehSpd)_0x23C->0x23E,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_FWhlSpd，报文ID：0x23C中信号
VehSpd=0/1/100/299.981
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_FWhlSpd，报文ID：0x23E分别对应以下信号值
VehSpd01=0/1/100/299.981
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23C_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x23C,CAN信号路由_(VehSpdVd)_0x23C->0x23E,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_FWhlSpd，报文ID：0x23C中信号
VehSpdVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_FWhlSpd，报文ID：0x23E分别对应以下信号值
VehSpdVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
0x23D,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x23D_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x23D,CAN信号路由_(HHC_Failure)_0x23D->0x23D,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_RWhlSpd，报文ID：0x23D中信号
HHC_Failure=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_RWhlSpd，报文ID：0x23D分别对应以下信号值
HHC_Failure=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23D_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x23D,CAN信号路由_(HHCActive)_0x23D->0x23D,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_RWhlSpd，报文ID：0x23D中信号
HHCActive=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_RWhlSpd，报文ID：0x23D分别对应以下信号值
HHCActive=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23D_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x23D,CAN信号路由_(WhlSpdRRVd)_0x23D->0x23D,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_RWhlSpd，报文ID：0x23D中信号
WhlSpdRRVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_RWhlSpd，报文ID：0x23D分别对应以下信号值
WhlSpdRRVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23D_004,SWRS-1,A,CAN路由,基本功能,手动测试,0x23D,CAN信号路由_(WhlSpdRR)_0x23D->0x23D,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_RWhlSpd，报文ID：0x23D中信号
WhlSpdRR=0/1/100/299.981
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_RWhlSpd，报文ID：0x23D分别对应以下信号值
WhlSpdRR=0/1/100/299.981
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23D_005,SWRS-1,A,CAN路由,基本功能,手动测试,0x23D,CAN信号路由_(WhlSpdRLVd)_0x23D->0x23D,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_RWhlSpd，报文ID：0x23D中信号
WhlSpdRLVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_RWhlSpd，报文ID：0x23D分别对应以下信号值
WhlSpdRLVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x23D_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x23D,CAN信号路由_(WhlSpdRL)_0x23D->0x23D,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：mrESC_RWhlSpd，报文ID：0x23D中信号
WhlSpdRL=0/1/100/299.981
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：mrESC_RWhlSpd，报文ID：0x23D分别对应以下信号值
WhlSpdRL=0/1/100/299.981
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
0x266,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x266_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(AEB_available)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
AEB_available=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
AEB_available=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x266_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(AEB_active)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
AEB_active=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
AEB_active=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x266_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(BrkPedSts)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
BrkPedSts=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
BrkPedSts01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x266_004,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(BrkPedVd)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
BrkPedVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
BrkPedVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x266_005,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(GasPdlPsnExVd)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
GasPdlPsnExVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
GasPdlPsnExVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x266_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(ReadyInd)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
ReadyInd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
ReadyInd01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x266_007,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(GearPsn)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
GearPsn=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
GearPsn=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x266_008,SWRS-1,A,CAN路由,基本功能,手动测试,0x266,CAN信号路由_(GasPdlPsnEx)_0x266->0x266,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ADAS_F01，报文ID：0x266中信号
GasPdlPsnEx=0/1/10/99.9998
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ADAS_F01，报文ID：0x266分别对应以下信号值
GasPdlPsnEx=0/1/10/99.9998
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
0x246,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x246_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x246,CAN信号路由_(SWCLeft_Cent)_0x246->0x247,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：SWC_IVI，报文ID：0x246中信号
SWCLeft_Cent=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：SWC_IVI，报文ID：0x247分别对应以下信号值
SWCLeft_Cent=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
0x23F,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x23F_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x23F,CAN信号路由_(MPC_TurnLightCmd)_0x23F->0x23F,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MPC_BCM_Cmd，报文ID：0x23F中信号
MPC_TurnLightCmd=0/1/2/3
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MPC_BCM_Cmd，报文ID：0x23F分别对应以下信号值
MPC_TurnLightCmd=0/1/2/3
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
